Site Name,Site Code,Replicate,UTM,pH,Na,NH4,K,Mg,Ca,Cl,SO4,PO4,NO3,Orib_mites,Pred_Mites,Collem,Enchy,All_Mites,Total_Invert
EMP,A,1,"537783.9E, 6990495N",6.74,6.7,2.93,9.56,4.1,16.42,9.44,5.78,6.55,1.01,15310.59322,0,0,0,15310.59322,15310.59322
EMP,A,2,"537783.9E, 6990495N",5.36,3.89,4.98,0.72,1.64,7.05,6.22,4.35,4.57,0.49,33283.89831,0,34948.09322,33283.89831,33283.89831,101515.8898
EMP,A,3,"537783.9E, 6990495N",7.03,8.82,0.65,14.09,5.49,49.78,10.23,7.33,4.16,1.64,0,0,241118.6709,161574.3671,0,402693.038
EMP,A,4,"537783.9E, 6990495N",5.72,4.52,2.77,7.77,1.97,9.436,6.55,4.79,9.46,0.3,54363.70056,0,39940.67797,100961.1582,54363.70056,195265.5367
EMP,A,5,"537783.9E, 6990495N",6.39,4.97,3.07,4.21,2.72,15.5,6.05,3.44,3.36,0.57,53254.24,0,46597.45763,665.6779661,53254.23729,100517.3729
EMP,A,6,"537783.9E, 6990495N",6.41,7.3,4.87,20.9,5.56,33.55,7.93,8.51,25.12,0.7,35780.19068,0,47429.55508,58246.82203,35780.19068,141456.5678
EMP,A,7,"537783.9E, 6990495N",6.66,6.8,0.55,1.3,3.58,19.15,11.09,5.02,3.23,0.3,25015.92357,0,15009.55414,37523.88535,25015.92357,77549.36306
EMP,A,8,"537783.9E, 6990495N",5.46,5.9,3.02,11.06,2.62,10.57,9.67,6.27,6.81,0.48,34317.96117,3813.106796,32411.40777,22878.64078,38131.06796,93421.1165
EMP,A,9,"537783.9E, 6990495N",6.97,4.71,3.38,13.43,6.24,69.81,5.48,5.46,7.86,3.04,16641.94915,0,9985.169492,29955.50847,16641.94915,56582.62712
EMP,A,10,"537783.9E, 6990495N",6.35,4.89,0.6,5.21,1.55,7.08,5.08,2.66,7.06,0.04,54918.4322,0,28291.31356,0,54918.4322,83209.74576
